day,store,sales,date,week_id,price,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_105,CA1,62,105,11115,1.48,Friday,7,5,2011,0,1,0
d_106,CA1,51,106,11116,1.48,Saturday,1,5,2011,0,0,1
d_107,CA1,68,107,11116,1.48,Sunday,2,5,2011,0,1,1
d_108,CA1,33,108,11116,1.48,Monday,3,5,2011,0,0,0
d_109,CA1,29,109,11116,1.48,Tuesday,4,5,2011,0,0,0
d_110,CA1,26,110,11116,1.48,Wednesday,5,5,2011,0,0,0
d_111,CA1,38,111,11116,1.48,Thursday,6,5,2011,0,0,0
d_112,CA1,41,112,11116,1.48,Friday,7,5,2011,0,0,0
d_113,CA1,54,113,11117,1.48,Saturday,1,5,2011,0,0,0
d_114,CA1,52,114,11117,1.48,Sunday,2,5,2011,0,0,0
d_115,CA1,42,115,11117,1.48,Monday,3,5,2011,0,0,0
d_116,CA1,24,116,11117,1.48,Tuesday,4,5,2011,0,0,0
d_117,CA1,26,117,11117,1.48,Wednesday,5,5,2011,0,0,0
d_118,CA1,35,118,11117,1.48,Thursday,6,5,2011,0,0,0
d_119,CA1,58,119,11117,1.48,Friday,7,5,2011,0,0,0
d_120,CA1,43,120,11118,1.48,Saturday,1,5,2011,0,0,0
d_121,CA1,55,121,11118,1.48,Sunday,2,5,2011,0,0,0
d_122,CA1,48,122,11118,1.48,Monday,3,5,2011,0,0,0
d_123,CA1,39,123,11118,1.48,Tuesday,4,5,2011,0,0,0
d_124,CA1,34,124,11118,1.48,Wednesday,5,6,2011,1,1,0
d_125,CA1,46,125,11118,1.48,Thursday,6,6,2011,1,0,1
d_126,CA1,45,126,11118,1.48,Friday,7,6,2011,1,1,1
d_127,CA1,58,127,11119,1.48,Saturday,1,6,2011,1,0,0
d_128,CA1,57,128,11119,1.48,Sunday,2,6,2011,1,1,1
d_129,CA1,55,129,11119,1.48,Monday,3,6,2011,1,1,1
d_130,CA1,41,130,11119,1.48,Tuesday,4,6,2011,1,1,0
d_131,CA1,36,131,11119,1.48,Wednesday,5,6,2011,1,0,1
d_132,CA1,38,132,11119,1.48,Thursday,6,6,2011,1,1,1
d_133,CA1,48,133,11119,1.48,Friday,7,6,2011,1,0,0
d_134,CA1,57,134,11120,1.48,Saturday,1,6,2011,0,1,1
d_135,CA1,59,135,11120,1.48,Sunday,2,6,2011,0,1,1
d_136,CA1,53,136,11120,1.48,Monday,3,6,2011,0,1,0
d_137,CA1,46,137,11120,1.48,Tuesday,4,6,2011,0,0,1
d_138,CA1,53,138,11120,1.48,Wednesday,5,6,2011,0,1,1
d_139,CA1,36,139,11120,1.48,Thursday,6,6,2011,0,0,0
d_140,CA1,43,140,11120,1.48,Friday,7,6,2011,0,0,0
d_141,CA1,73,141,11121,1.48,Saturday,1,6,2011,0,0,0
d_142,CA1,77,142,11121,1.48,Sunday,2,6,2011,0,0,0
d_143,CA1,41,143,11121,1.48,Monday,3,6,2011,0,0,0
d_144,CA1,34,144,11121,1.48,Tuesday,4,6,2011,0,0,0
d_145,CA1,41,145,11121,1.48,Wednesday,5,6,2011,0,0,0
d_146,CA1,37,146,11121,1.48,Thursday,6,6,2011,0,0,0
d_147,CA1,47,147,11121,1.48,Friday,7,6,2011,0,0,0
d_148,CA1,45,148,11122,1.48,Saturday,1,6,2011,0,0,0
d_149,CA1,63,149,11122,1.48,Sunday,2,6,2011,0,0,0
d_150,CA1,34,150,11122,1.48,Monday,3,6,2011,0,0,0
d_151,CA1,32,151,11122,1.48,Tuesday,4,6,2011,0,0,0
d_152,CA1,36,152,11122,1.48,Wednesday,5,6,2011,0,0,0
d_153,CA1,43,153,11122,1.48,Thursday,6,6,2011,0,0,0
d_154,CA1,70,154,11122,1.48,Friday,7,7,2011,1,1,0
d_155,CA1,81,155,11123,1.48,Saturday,1,7,2011,1,0,1
d_156,CA1,94,156,11123,1.48,Sunday,2,7,2011,1,1,1
d_157,CA1,64,157,11123,1.48,Monday,3,7,2011,1,0,0
d_158,CA1,48,158,11123,1.48,Tuesday,4,7,2011,1,1,1
d_159,CA1,51,159,11123,1.48,Wednesday,5,7,2011,1,1,1
d_160,CA1,56,160,11123,1.48,Thursday,6,7,2011,1,1,0
d_161,CA1,43,161,11123,1.48,Friday,7,7,2011,1,0,1
d_162,CA1,71,162,11124,1.48,Saturday,1,7,2011,1,1,1
d_163,CA1,67,163,11124,1.48,Sunday,2,7,2011,1,0,0
d_164,CA1,39,164,11124,1.48,Monday,3,7,2011,0,1,1
d_165,CA1,37,165,11124,1.48,Tuesday,4,7,2011,0,1,1
d_166,CA1,46,166,11124,1.48,Wednesday,5,7,2011,0,1,0
d_167,CA1,30,167,11124,1.48,Thursday,6,7,2011,0,0,1
d_168,CA1,54,168,11124,1.48,Friday,7,7,2011,0,1,1
d_169,CA1,58,169,11125,1.48,Saturday,1,7,2011,0,0,0
d_170,CA1,77,170,11125,1.48,Sunday,2,7,2011,0,0,0
d_171,CA1,46,171,11125,1.48,Monday,3,7,2011,0,0,0
d_172,CA1,36,172,11125,1.48,Tuesday,4,7,2011,0,0,0
d_173,CA1,29,173,11125,1.48,Wednesday,5,7,2011,0,0,0
d_174,CA1,34,174,11125,1.48,Thursday,6,7,2011,0,0,0
d_175,CA1,50,175,11125,1.48,Friday,7,7,2011,0,0,0
d_176,CA1,51,176,11126,1.48,Saturday,1,7,2011,0,0,0
d_177,CA1,77,177,11126,1.48,Sunday,2,7,2011,0,0,0
d_178,CA1,43,178,11126,1.48,Monday,3,7,2011,0,0,0
d_179,CA1,34,179,11126,1.48,Tuesday,4,7,2011,0,0,0
d_180,CA1,40,180,11126,1.48,Wednesday,5,7,2011,0,0,0
d_181,CA1,39,181,11126,1.48,Thursday,6,7,2011,0,0,0
d_182,CA1,40,182,11126,1.48,Friday,7,7,2011,0,0,0
d_183,CA1,56,183,11127,1.48,Saturday,1,7,2011,0,0,0
d_184,CA1,69,184,11127,1.48,Sunday,2,7,2011,0,0,0
d_185,CA1,65,185,11127,1.48,Monday,3,8,2011,1,1,0
d_186,CA1,44,186,11127,1.48,Tuesday,4,8,2011,1,0,1
d_187,CA1,42,187,11127,1.48,Wednesday,5,8,2011,1,1,1
d_188,CA1,34,188,11127,1.48,Thursday,6,8,2011,1,0,0
d_189,CA1,58,189,11127,1.48,Friday,7,8,2011,1,1,1
d_190,CA1,66,190,11128,1.48,Saturday,1,8,2011,1,1,1
d_191,CA1,79,191,11128,1.48,Sunday,2,8,2011,1,1,0
d_192,CA1,54,192,11128,1.48,Monday,3,8,2011,1,0,1
d_193,CA1,52,193,11128,1.48,Tuesday,4,8,2011,1,1,1
d_194,CA1,54,194,11128,1.48,Wednesday,5,8,2011,1,0,0
d_195,CA1,41,195,11128,1.48,Thursday,6,8,2011,0,1,1
d_196,CA1,54,196,11128,1.48,Friday,7,8,2011,0,1,1
d_197,CA1,70,197,11129,1.48,Saturday,1,8,2011,0,1,0
d_198,CA1,94,198,11129,1.48,Sunday,2,8,2011,0,0,1
d_199,CA1,55,199,11129,1.48,Monday,3,8,2011,0,1,1
d_200,CA1,52,200,11129,1.48,Tuesday,4,8,2011,0,0,0
d_201,CA1,32,201,11129,1.48,Wednesday,5,8,2011,0,0,0
d_202,CA1,39,202,11129,1.48,Thursday,6,8,2011,0,0,0
d_203,CA1,57,203,11129,1.48,Friday,7,8,2011,0,0,0
d_204,CA1,70,204,11130,1.48,Saturday,1,8,2011,0,0,0
d_205,CA1,98,205,11130,1.48,Sunday,2,8,2011,0,0,0
d_206,CA1,37,206,11130,1.48,Monday,3,8,2011,0,0,0
d_207,CA1,43,207,11130,1.48,Tuesday,4,8,2011,0,0,0
d_208,CA1,17,208,11130,1.48,Wednesday,5,8,2011,0,0,0
d_209,CA1,40,209,11130,1.48,Thursday,6,8,2011,0,0,0
d_210,CA1,34,210,11130,1.48,Friday,7,8,2011,0,0,0
d_211,CA1,58,211,11131,1.48,Saturday,1,8,2011,0,0,0
d_212,CA1,59,212,11131,1.48,Sunday,2,8,2011,0,0,0
d_213,CA1,31,213,11131,1.48,Monday,3,8,2011,0,0,0
d_214,CA1,30,214,11131,1.48,Tuesday,4,8,2011,0,0,0
d_215,CA1,32,215,11131,1.48,Wednesday,5,8,2011,0,0,0
d_216,CA1,46,216,11131,1.48,Thursday,6,9,2011,1,1,0
d_217,CA1,44,217,11131,1.48,Friday,7,9,2011,1,0,1
d_218,CA1,53,218,11132,1.48,Saturday,1,9,2011,1,1,1
d_219,CA1,65,219,11132,1.48,Sunday,2,9,2011,1,0,0
d_220,CA1,57,220,11132,1.48,Monday,3,9,2011,1,1,1
d_221,CA1,59,221,11132,1.48,Tuesday,4,9,2011,1,1,1
d_222,CA1,45,222,11132,1.48,Wednesday,5,9,2011,1,1,0
d_223,CA1,39,223,11132,1.48,Thursday,6,9,2011,1,0,1
d_224,CA1,61,224,11132,1.48,Friday,7,9,2011,1,1,1
d_225,CA1,56,225,11133,1.48,Saturday,1,9,2011,1,0,0
d_226,CA1,101,226,11133,1.48,Sunday,2,9,2011,0,1,1
d_227,CA1,34,227,11133,1.48,Monday,3,9,2011,0,1,1
d_228,CA1,37,228,11133,1.48,Tuesday,4,9,2011,0,1,0
d_229,CA1,43,229,11133,1.48,Wednesday,5,9,2011,0,0,1
d_230,CA1,36,230,11133,1.48,Thursday,6,9,2011,0,1,1
d_231,CA1,48,231,11133,1.48,Friday,7,9,2011,0,0,0
d_232,CA1,56,232,11134,1.48,Saturday,1,9,2011,0,0,0
d_233,CA1,58,233,11134,1.48,Sunday,2,9,2011,0,0,0
d_234,CA1,38,234,11134,1.48,Monday,3,9,2011,0,0,0
d_235,CA1,43,235,11134,1.48,Tuesday,4,9,2011,0,0,0
d_236,CA1,40,236,11134,1.48,Wednesday,5,9,2011,0,0,0
d_237,CA1,23,237,11134,1.48,Thursday,6,9,2011,0,0,0
d_238,CA1,42,238,11134,1.48,Friday,7,9,2011,0,0,0
d_239,CA1,45,239,11135,1.48,Saturday,1,9,2011,0,0,0
d_240,CA1,68,240,11135,1.48,Sunday,2,9,2011,0,0,0
d_241,CA1,42,241,11135,1.48,Monday,3,9,2011,0,0,0
d_242,CA1,29,242,11135,1.48,Tuesday,4,9,2011,0,0,0
d_243,CA1,33,243,11135,1.48,Wednesday,5,9,2011,0,0,0
d_244,CA1,32,244,11135,1.48,Thursday,6,9,2011,0,0,0
d_245,CA1,46,245,11135,1.48,Friday,7,9,2011,0,0,0
d_246,CA1,69,246,11136,1.48,Saturday,1,10,2011,1,1,0
d_247,CA1,74,247,11136,1.48,Sunday,2,10,2011,1,0,1
d_248,CA1,42,248,11136,1.48,Monday,3,10,2011,1,1,1
d_249,CA1,37,249,11136,1.48,Tuesday,4,10,2011,1,0,0
d_250,CA1,41,250,11136,1.48,Wednesday,5,10,2011,1,1,1
d_251,CA1,54,251,11136,1.48,Thursday,6,10,2011,1,1,1
d_252,CA1,54,252,11136,1.48,Friday,7,10,2011,1,1,0
d_253,CA1,60,253,11137,1.48,Saturday,1,10,2011,1,0,1
d_254,CA1,84,254,11137,1.48,Sunday,2,10,2011,1,1,1
d_255,CA1,45,255,11137,1.48,Monday,3,10,2011,1,0,0
d_256,CA1,56,256,11137,1.48,Tuesday,4,10,2011,0,1,1
d_257,CA1,36,257,11137,1.48,Wednesday,5,10,2011,0,1,1
d_258,CA1,50,258,11137,1.48,Thursday,6,10,2011,0,1,0
d_259,CA1,49,259,11137,1.48,Friday,7,10,2011,0,0,1
d_260,CA1,63,260,11138,1.48,Saturday,1,10,2011,0,1,1
d_261,CA1,69,261,11138,1.48,Sunday,2,10,2011,0,0,0
d_262,CA1,36,262,11138,1.48,Monday,3,10,2011,0,0,0
d_263,CA1,32,263,11138,1.48,Tuesday,4,10,2011,0,0,0
d_264,CA1,30,264,11138,1.48,Wednesday,5,10,2011,0,0,0
d_265,CA1,38,265,11138,1.48,Thursday,6,10,2011,0,0,0
d_266,CA1,38,266,11138,1.48,Friday,7,10,2011,0,0,0
d_267,CA1,52,267,11139,1.48,Saturday,1,10,2011,0,0,0
d_268,CA1,74,268,11139,1.48,Sunday,2,10,2011,0,0,0
d_269,CA1,52,269,11139,1.48,Monday,3,10,2011,0,0,0
d_270,CA1,43,270,11139,1.48,Tuesday,4,10,2011,0,0,0
d_271,CA1,37,271,11139,1.48,Wednesday,5,10,2011,0,0,0
d_272,CA1,33,272,11139,1.48,Thursday,6,10,2011,0,0,0
d_273,CA1,50,273,11139,1.48,Friday,7,10,2011,0,0,0
d_274,CA1,72,274,11140,1.48,Saturday,1,10,2011,0,0,0
d_275,CA1,99,275,11140,1.48,Sunday,2,10,2011,0,0,0
d_276,CA1,39,276,11140,1.48,Monday,3,10,2011,0,0,0
d_277,CA1,41,277,11140,1.48,Tuesday,4,11,2011,1,1,0
d_278,CA1,49,278,11140,1.48,Wednesday,5,11,2011,1,0,1
d_279,CA1,25,279,11140,1.48,Thursday,6,11,2011,1,1,1
d_280,CA1,51,280,11140,1.48,Friday,7,11,2011,1,0,0
d_281,CA1,69,281,11141,1.48,Saturday,1,11,2011,1,1,1
d_282,CA1,98,282,11141,1.48,Sunday,2,11,2011,1,1,1
d_283,CA1,50,283,11141,1.48,Monday,3,11,2011,1,1,0
d_284,CA1,48,284,11141,1.48,Tuesday,4,11,2011,1,0,1
d_285,CA1,57,285,11141,1.48,Wednesday,5,11,2011,1,1,1
d_286,CA1,59,286,11141,1.48,Thursday,6,11,2011,1,0,0
d_287,CA1,58,287,11141,1.48,Friday,7,11,2011,0,1,1
d_288,CA1,64,288,11142,1.48,Saturday,1,11,2011,0,1,1
d_289,CA1,70,289,11142,1.48,Sunday,2,11,2011,0,1,0
d_290,CA1,50,290,11142,1.48,Monday,3,11,2011,0,0,1
d_291,CA1,24,291,11142,1.48,Tuesday,4,11,2011,0,1,1
d_292,CA1,41,292,11142,1.48,Wednesday,5,11,2011,0,0,0
d_293,CA1,29,293,11142,1.48,Thursday,6,11,2011,0,0,0
d_294,CA1,52,294,11142,1.48,Friday,7,11,2011,0,0,0
d_295,CA1,55,295,11143,1.48,Saturday,1,11,2011,0,0,0
d_296,CA1,72,296,11143,1.48,Sunday,2,11,2011,0,0,0
d_297,CA1,57,297,11143,1.48,Monday,3,11,2011,0,0,0
d_298,CA1,46,298,11143,1.48,Tuesday,4,11,2011,0,0,0
d_299,CA1,48,299,11143,1.48,Wednesday,5,11,2011,0,0,0
d_300,CA1,85,300,11143,1.48,Thursday,6,11,2011,0,0,0
d_301,CA1,133,301,11143,1.48,Friday,7,11,2011,0,0,0
d_302,CA1,62,302,11144,1.48,Saturday,1,11,2011,0,0,0
d_303,CA1,54,303,11144,1.48,Sunday,2,11,2011,0,0,0
d_304,CA1,38,304,11144,1.48,Monday,3,11,2011,0,0,0
d_305,CA1,24,305,11144,1.48,Tuesday,4,11,2011,0,0,0
d_306,CA1,32,306,11144,1.48,Wednesday,5,11,2011,0,0,0
d_307,CA1,44,307,11144,1.48,Thursday,6,12,2011,1,1,0
d_308,CA1,71,308,11144,1.48,Friday,7,12,2011,1,0,1
d_309,CA1,87,309,11145,1.48,Saturday,1,12,2011,1,1,1
d_310,CA1,81,310,11145,1.48,Sunday,2,12,2011,1,0,0
d_311,CA1,59,311,11145,1.48,Monday,3,12,2011,1,1,1
d_312,CA1,30,312,11145,1.48,Tuesday,4,12,2011,1,1,1
d_313,CA1,45,313,11145,1.48,Wednesday,5,12,2011,1,1,0
d_314,CA1,53,314,11145,1.48,Thursday,6,12,2011,1,0,1
d_315,CA1,47,315,11145,1.48,Friday,7,12,2011,1,1,1
d_316,CA1,78,316,11146,1.48,Saturday,1,12,2011,1,0,0
d_317,CA1,105,317,11146,1.48,Sunday,2,12,2011,0,1,1
d_318,CA1,51,318,11146,1.48,Monday,3,12,2011,0,1,1
d_319,CA1,47,319,11146,1.48,Tuesday,4,12,2011,0,1,0
d_320,CA1,46,320,11146,1.48,Wednesday,5,12,2011,0,0,1
d_321,CA1,47,321,11146,1.48,Thursday,6,12,2011,0,1,1
d_322,CA1,51,322,11146,1.48,Friday,7,12,2011,0,0,0
d_323,CA1,97,323,11147,1.48,Saturday,1,12,2011,0,0,0
d_324,CA1,101,324,11147,1.48,Sunday,2,12,2011,0,0,0
d_325,CA1,68,325,11147,1.48,Monday,3,12,2011,0,0,0
d_326,CA1,64,326,11147,1.48,Tuesday,4,12,2011,0,0,0
d_327,CA1,70,327,11147,1.48,Wednesday,5,12,2011,0,0,0
d_328,CA1,79,328,11147,1.48,Thursday,6,12,2011,0,0,0
d_329,CA1,118,329,11147,1.48,Friday,7,12,2011,0,0,0
d_330,CA1,73,330,11148,1.48,Saturday,1,12,2011,0,0,0
d_331,CA1,0,331,11148,1.48,Sunday,2,12,2011,0,0,0
d_332,CA1,58,332,11148,1.48,Monday,3,12,2011,0,0,0
d_333,CA1,36,333,11148,1.48,Tuesday,4,12,2011,0,0,0
d_334,CA1,42,334,11148,1.48,Wednesday,5,12,2011,0,0,0
d_335,CA1,35,335,11148,1.48,Thursday,6,12,2011,0,0,0
d_336,CA1,47,336,11148,1.48,Friday,7,12,2011,0,0,0
d_337,CA1,53,337,11149,1.48,Saturday,1,12,2011,0,0,0
d_338,CA1,45,338,11149,1.48,Sunday,2,1,2012,1,1,0
d_339,CA1,51,339,11149,1.48,Monday,3,1,2012,1,0,1
d_340,CA1,40,340,11149,1.48,Tuesday,4,1,2012,1,1,1
d_341,CA1,37,341,11149,1.48,Wednesday,5,1,2012,1,0,0
d_342,CA1,57,342,11149,1.48,Thursday,6,1,2012,1,1,1
d_343,CA1,42,343,11149,1.48,Friday,7,1,2012,1,1,1
d_344,CA1,64,344,11150,1.48,Saturday,1,1,2012,1,1,0
d_345,CA1,58,345,11150,1.48,Sunday,2,1,2012,1,0,1
d_346,CA1,25,346,11150,1.48,Monday,3,1,2012,1,1,1
d_347,CA1,32,347,11150,1.48,Tuesday,4,1,2012,1,0,0
d_348,CA1,39,348,11150,1.48,Wednesday,5,1,2012,0,1,1
d_349,CA1,38,349,11150,1.48,Thursday,6,1,2012,0,1,1
d_350,CA1,35,350,11150,1.48,Friday,7,1,2012,0,1,0
d_351,CA1,59,351,11151,1.48,Saturday,1,1,2012,0,0,1
d_352,CA1,61,352,11151,1.48,Sunday,2,1,2012,0,1,1
d_353,CA1,38,353,11151,1.48,Monday,3,1,2012,0,0,0
d_354,CA1,40,354,11151,1.48,Tuesday,4,1,2012,0,0,0
d_355,CA1,32,355,11151,1.48,Wednesday,5,1,2012,0,0,0
d_356,CA1,21,356,11151,1.48,Thursday,6,1,2012,0,0,0
d_357,CA1,41,357,11151,1.48,Friday,7,1,2012,0,0,0
d_358,CA1,61,358,11152,1.48,Saturday,1,1,2012,0,0,0
d_359,CA1,53,359,11152,1.48,Sunday,2,1,2012,0,0,0
d_360,CA1,24,360,11152,1.48,Monday,3,1,2012,0,0,0
d_361,CA1,28,361,11152,1.48,Tuesday,4,1,2012,0,0,0
d_362,CA1,21,362,11152,1.48,Wednesday,5,1,2012,0,0,0
d_363,CA1,31,363,11152,1.48,Thursday,6,1,2012,0,0,0
d_364,CA1,37,364,11152,1.48,Friday,7,1,2012,0,0,0
d_365,CA1,53,365,11201,1.48,Saturday,1,1,2012,0,0,0
d_366,CA1,46,366,11201,1.48,Sunday,2,1,2012,0,0,0
d_367,CA1,30,367,11201,1.48,Monday,3,1,2012,0,0,0
d_368,CA1,22,368,11201,1.48,Tuesday,4,1,2012,0,0,0
d_369,CA1,36,369,11201,1.48,Wednesday,5,2,2012,1,1,0
d_370,CA1,46,370,11201,1.48,Thursday,6,2,2012,1,0,1
d_371,CA1,42,371,11201,1.48,Friday,7,2,2012,1,1,1
d_372,CA1,74,372,11202,1.48,Saturday,1,2,2012,1,0,0
d_373,CA1,61,373,11202,1.48,Sunday,2,2,2012,1,1,1
d_374,CA1,49,374,11202,1.48,Monday,3,2,2012,1,1,1
d_375,CA1,31,375,11202,1.48,Tuesday,4,2,2012,1,1,0
